X,Y,Z
15,5,89.85069
15,6,89.45549
15,7,60.29967
15,8,50.33806
15,9,39.17583
15,10,59.06854
15,11,74.52159
15,12,84.93402
15,13,187.1219
15,14,123.9673
15,15,103.7027
15,16,128.986
15,17,165.1283
15,18,249.7054
15,19,95.39966
15,20,10.00284
15,21,2.39255
15,22,0
15,23,0
16,0,0
16,1,21.73871
16,2,123.1339
16,3,176.7414
16,4,158.2698
16,5,137.235
16,6,105.3089
16,7,86.63255
16,8,53.11591
16,9,29.03865
16,10,30.40539
16,11,39.04902
16,12,49.23405
16,13,63.27853
16,14,111.4215
16,15,101.1956
16,16,40.00962
16,17,59.84565
16,18,74.51253
16,19,17.06316
16,20,2.435141
16,21,2.287471
16,22,-0.0003636982
16,23,0
17,0,0
17,1,0
17,2,62.04672
17,3,136.3122
17,4,201.7952
17,5,168.1343
17,6,95.2046
17,7,58.90624
17,8,46.94091
17,9,49.27053
17,10,37.10416
17,11,17.97011
17,12,30.93697
17,13,33.39257
17,14,44.03077
17,15,55.64542
17,16,78.22423
17,17,14.42782
17,18,9.954997
17,19,7.768213
17,20,13.0254
17,21,21.73166
17,22,2.156372
17,23,0.5317867
18,0,0
18,1,0
18,2,79.62993
18,3,139.6978
18,4,173.167
18,5,192.8718
18,6,196.3499
18,7,144.6611
18,8,106.5424
18,9,57.16653
18,10,41.16107
18,11,32.12764
18,12,13.8566
18,13,10.91772
18,14,12.07177
18,15,22.38254
18,16,24.72105
18,17,6.803666
18,18,4.200841
18,19,16.46857
18,20,15.70744
18,21,33.96221
18,22,7.575688
18,23,-0.04880907
19,0,0
19,1,0
19,2,33.2664
19,3,57.53643
19,4,167.2241
19,5,196.4833
19,6,194.7966
19,7,182.1884
19,8,119.6961
19,9,73.02113
19,10,48.36549
19,11,33.74652
19,12,26.2379
19,13,16.3578
19,14,6.811293
19,15,6.63927
19,16,6.639271
19,17,8.468093
19,18,6.194273
19,19,3.591233
19,20,3.81486
19,21,8.600739
19,22,5.21889
19,23,0
20,0,0
20,1,0
20,2,29.77937
20,3,54.97282
20,4,144.7995
20,5,207.4904
20,6,165.3432
20,7,171.4047
20,8,174.9216
20,9,100.2733
20,10,61.46441
20,11,50.19171
20,12,26.08209
20,13,17.18218
20,14,8.468093
20,15,6.63927
20,16,6.334467
20,17,6.334467
20,18,5.666687
20,19,4.272203
20,20,0
20,21,0
20,22,0
20,23,0
21,0,0
21,1,0
21,2,31.409
21,3,132.7418
21,4,185.5796
21,5,121.8299
21,6,185.3841
